song,artist
Summer Nights,Survivor
When All Is Said And Done,ABBA
Daddy's Home,Cliff Richard
Through The Years,Kenny Rogers
Tell Me Tomorrow - Part I,Smokey Robinson
Anyone Can See,Irene Cara
Love In The First Degree,Alabama
Don't Let Him Know,Prism
I'll Fall In Love Again,Sammy Hagar
Memory,Barbra Streisand
I Can't Go For That (No Can Do),Daryl Hall John Oates
Another Sleepless Night,Anne Murray
Don't Let Me In,Sneaker
Memories Of Days Gone By,Fred Parris
Harden My Heart,Quarterflash
Call Me,Skyy
You Could Have Been With Me,Sheena Easton
I Believe,Chilliwack
Physical,Olivia Newton-John
Somewhere Down The Road,Barry Manilow
The Sweetest Thing (I've Ever Known),Juice Newton
Abacab,Genesis
Let The Feeling Flow,Peabo Bryson
Working For The Weekend,Loverboy
All Our Tomorrows,Eddie Schwartz
Turn Your Love Around,George Benson
Lonely Nights,Bryan Adams
If Looks Could Kill,Player
Only One You,T.G. Sheppard
Our Lips Are Sealed,Go-Go's
Sad Girl,GQ
Love Is Alright Tonite,Rick Springfield
"You're My Latest, My Greatest Inspiration",Teddy Pendergrass
Love Is Like A Rock,Donnie Iris
The Longer You Wait,Gino Vannelli
Running,Chubby Checker
Let's Get It Up,AC/DC
Natural Love,Petula Clark
Waiting For A Girl Like You,Foreigner
Hooked On Classics,Royal Philharmonic Orchestra
Never Thought I'd Fall In Love,The Spinners
Let's Groove,Earth
Cool (Part 1),The Time
Cool Night,Paul Davis
Waiting On A Friend,The Rolling Stones
Here To Love You,The Doobie Brothers
Why You Wanna Try Me,Commodores
Wanna Be With You,Earth
Crazy (Keep On Falling),The John Hall Band
Circle Of Love,The Steve Miller Band
You Can,Madleen Kane
Voice On The Radio,Conductor
Be Mine (Tonight),Grover Washington
Leather And Lace,Stevie Nicks
Sea Of Love,Del Shannon
Comin' In And Out Of Your Life,Barbra Streisand
Trouble,Lindsey Buckingham
Come Go With Me,The Beach Boys
Perhaps Love,Placido Domingo
Why Do Fools Fall In Love,Diana Ross
Opposites Do Attract,All Sports Band
Steppin' Out,Kool
Start It All Over,McGuffey Lane
Someone Could Lose A Heart Tonight,Eddie Rabbitt
Young Turks,Rod Stewart
She's Got A Way,Billy Joel
I Wouldn't Have Missed It For The World,Ronnie Milsap
Yesterday's Songs,Neil Diamond
Keeping Our Love Alive,Henry Paul Band
Power Play,Molly Hatchet
Tonight Tonight,Bill Champlin
Don't Stop Believin',Journey
It's My Party,Dave Stewart and Barbara Gaskin
Take My Heart (You Can Have It If You Want It),Kool
Oh No,Commodores
Breakin' Away,Al Jarreau
Seasons Of Gold,Gidea Park
Could It Be Love,Jennifer Warnes
Feel Like A Number,Bob Seger
A World Without Heroes,KISS
More Than Just The Two Of Us,Sneaker
Here I Am (Just When I Thought I Was Over You),Air Supply
Little Darlin',Sheila
Steal The Night,Stevie Woods
Every Little Thing She Does Is Magic,The Police
My Kinda Lover,Billy Squier
"My Girl (Gone, Gone, Gone)",Chilliwack
If I Were You,Lulu
Castles In The Air,Don McLean
Private Eyes,Daryl Hall John Oates
Start Me Up,The Rolling Stones
Heart Like A Wheel,The Steve Miller Band
Falling In Love,Balance
Let Me Love You Once,Greg Lake
Those Good Old Dreams,Carpenters
Wkrp In Cincinnati,Steve Carlisle
Southern Pacific,Neil Young / Crazy Horse
The Old Songs,Barry Manilow
Arthur's Theme (Best That You Can Do),Christopher Cross
No Reply At All,Genesis
Closer To The Heart,Rush
Can't Hold Back (Your Loving),Kano
Tryin' To Live My Life Without You,Bob Seger
Better Things,The Kinks
The Theme From Hill Street Blues,Mike Post
Just Once,Quincy Jones
Poor Man's Son,Survivor
Never Too Much,Luther Vandross
Wrack My Brain,Ringo Starr
I've Done Everything For You,Rick Springfield
Blaze Of Glory,Kenny Rogers
Super Freak (Part I),Rick James
Living Eyes,Bee Gees
Runaway Rita,Leif Garrett
The Night Owls,Little River Band
The Woman In Me,Crystal Gayle
When She Was My Girl,Four Tops
Sausalito Summernight,Diesel
We're In This Love Together,Al Jarreau
"She's A Bad Mama Jama (She's Built, She's Stacked)",Carl Carlton
For Your Eyes Only,Sheena Easton
Endless Love,Diana Ross
Hard To Say,Dan Fogelberg
Controversy,Prince
"I Want You, I Need You",Chris Christian
Twilight,Electric Light Orchestra
Sharing The Love,Rufus
Step By Step,Eddie Rabbitt
Say Goodbye To Hollywood,Billy Joel
I'm Just Too Shy,Jermaine Jackson
I Heard It Through The Grapevine (Part 1),Roger
Walking Into Sunshine,Central Line
Talking Out Of Turn,The Moody Blues
Share Your Love With Me,Kenny Rogers
Atlanta Lady (Something About Your Love),Marty Balin
Promises In The Dark,Pat Benatar
The Cowboy And The Lady,John Denver
Magic Power,Triumph
Stop Draggin' My Heart Around,Stevie Nicks
Who's Crying Now,Journey
I'm Your Superman,All Sports Band
Bet Your Heart On Me,Johnny Lee
Alien,Atlanta Rhythm Section
Urgent,Foreigner
Snap Shot,Slave
When She Dances,Joey Scarbury
Sweet Merilee,Donnie Iris
Hold On Tight,Electric Light Orchestra
Mistaken Identity,Kim Carnes
"Pay The Devil (Ooo, Baby, Ooo)",The Knack
In The Dark,Billy Squier
I Surrender,Arlan Day
La La Means I Love You,Tierra
I Could Never Miss You (More Than I Do),Lulu
Queen Of Hearts,Juice Newton
The Voice,The Moody Blues
You Saved My Soul,Burton Cummings
The Beach Boys Medley,The Beach Boys
Destroyer,The Kinks
Working In The Coal Mine,Devo
It's All I Can Do,Anne Murray
One More Night,Streek
Snake Eyes,The Alan Parsons Project
Slip Away,Pablo Cruise
The Jam Was Moving,Debbie Harry
Burnin' For You,Blue Oyster Cult
He's A Liar,Bee Gees
Lady (You Bring Me Up),Commodores
A Lucky Guy,Rickie Lee Jones
Heavy Metal (Takin' A Ride),Don Felder
Run To Me,Savoy Brown
(There's) No Gettin' Over Me,Ronnie Milsap
More Stars,More Stars On 45
Slow Hand,The Pointer Sisters
General Hospi-tale,The Afternoon Delights
Stay Awake,Ronnie Laws
Take Me Now,David Gates
Jessie's Girl,Rick Springfield
(Want You) Back In My Life Again,Carpenters
Breaking Away,Balance
Love All The Hurt Away,Aretha Franklin And George Benson
"Theme From ""Greatest American Hero"" (Believe It or Not)",Joey Scarbury
In Your Letter,REO Speedwagon
Wired For Sound,Cliff Richard
Feels So Right,Alabama
Still,John Schneider
Draw Of The Cards,Kim Carnes
Some Days Are Diamonds (Some Days Are Stone),John Denver
Fire And Ice,Pat Benatar
The Breakup Song (They Don't Write 'Em),Greg Kihn Band
Cool Love,Pablo Cruise
I'm In Love,Evelyn King
Really Wanna Know You,Gary Wright
Leila,ZZ Top
Fire In The Sky,The Dirt Band
Back To The 60's,Tight Fit
Backfired,Debbie Harry
Silly,Deniece Williams
Square Biz,Teena Marie
Aiming At Your Heart,The Temptations
That Old Song,Ray Parker Jr.
Straight From The Heart,The Allman Brothers Band
Chloe,Elton John
Let's Put The Fun Back In Rock N Roll,Freddy Cannon
You Could Take My Heart Away,Silver Condor
Love On A Two Way Street,Stacy Lattisaw
Boy From New York City,The Manhattan Transfer
No Time To Lose,The Tarney/Spencer Band
The House Of The Rising Sun,Dolly Parton
I Don't Need You,Kenny Rogers
I'm So Glad I'm Standing Here Today,The Crusaders
Tempted,Squeeze
Hearts,Marty Balin
Elvira,The Oak Ridge Boys
At This Moment,Billy
All I Have To Do Is Dream,Andy Gibb
Just Be My Lady,Larry Graham
Magic Man,Herb Alpert
You've Got A Good Love Coming,Van Stephenson
It's Now Or Never,John Schneider
I'm Gonna Love Her For Both Of Us,Meat Loaf
A Heart In New York,Art Garfunkel
Don't Give It Up,Robbie Patton
Let's Dance (Make Your Body Move),West Street Mob
Falling In Love Again,Michael Stanley Band
The Sun Ain't Gonna Shine Anymore,Nielsen/Pearson
The Stroke,Billy Squier
Dedicated To The One I Love,Bernadette Peters
Nicole,Point Blank
You Don't Know Me,Mickey Gilley
You're My Girl,Franke
Everlasting Love,Rex Smith/Rachel Sweet
Not Fade Away,Eric Hine
In The Air Tonight,Phil Collins
Touch Me When We're Dancing,Carpenters
Shake It Up Tonight,Cheryl Lynn
The One That You Love,Air Supply
Double Dutch Bus,Frankie Smith
Time,The Alan Parsons Project
The Sensitive Kind,Santana
Stranger,Jefferson Starship
Bette Davis Eyes,Kim Carnes
You Make My Dreams,Daryl Hall John Oates
We Can Get Together,Icehouse
Sweet Baby,Stanley Clarke/George Duke
Rock And Roll Dreams Come Through,Jim Steinman
Gemini Dream,The Moody Blues
Very Special,Debra Laws
Don't Let Him Go,REO Speedwagon
La-Di-Da,Sad Cafe
Nightwalker,Gino Vannelli
Fly Away,Blackfoot
Don't Want To Wait Anymore,The Tubes
All Those Years Ago,George Harrison
Modern Girl,Sheena Easton
A Woman Needs Love (Just Like You Do),Ray Parker Jr.
I Love My Truck,Glen Campbell
Seven Year Ache,Rosanne Cash
A Woman In Love (It's Not Me),Tom Petty And The Heartbreakers
Tom Sawyer,Rush
Give It To Me Baby,Rick James
Nothing Ever Goes As Planned,Styx
Medley,Stars On 45
This Little Girl,Gary U.S. Bonds
I Love You,Climax Blues Band
Jolé Blon,Gary U.S. Bonds
Medley II,Stars On 45
You're Mine Tonight,Pure Prairie League
It's Just The Sun,Don McLean
Just Like Paradise,Larry John McNally
Hold Tight,Change
America,Neil Diamond
Pay You Back With Interest,Gary O'
Secrets,Mac Davis
Sukiyaki,A Taste Of Honey
Summer '81 medley,The Cantina Band
Stronger Than Before,Carole Bayer Sager
A Life Of Illusion,Joe Walsh
Winning,Santana
Is It You,Lee Ritenour
Fantasy Girl,38 Special
Suzi,Randy VanWarmer
What Are We Doin' In Love,Dottie West
Two Hearts,Stephanie Mills
Fool In Love With You,Jim Photoglo
Being With You,Smokey Robinson
Living Inside Myself,Gino Vannelli
Nobody Wins,Elton John
Take It On The Run,REO Speedwagon
The Real Thing,The Brothers Johnson
It Didn't Take Long,Spider
The Kid Is Hot Tonite,Loverboy
Love Light,Yutaka
Shaddap You Face,Joe Dolce
Under The Covers,Janis Ian
On And On And On,ABBA
You Are Forever,Smokey Robinson
Jones Vs. Jones,Kool
The Waiting,Tom Petty And The Heartbreakers
Too Much Time On My Hands,Styx
Just The Two Of Us,Grover Washington
Some Changes Are For Good,Dionne Warwick
It Hurts To Be In Love,Dan Hartman
Still Right Here In My Heart,Pure Prairie League
"Someday, Someway",Robert Gordon
American Memories,Shamus M'Cool
Angel Of The Morning,Juice Newton
Walk Right Now,The Jacksons
Promises,Barbra Streisand
Don't Let Go The Coat,The Who
Rich Man,Terri Gibbs
Ready For Love,Silverado
What She Does To Me (The Diana Song),The Producers
Watching The Wheels,John Lennon
How 'bout Us,Champaign
Sign Of The Gypsy Queen,April Wine
What Cha' Gonna Do For Me,Chaka Khan
Sweetheart,Franke
Say What,Jesse Winchester
Another Ticket,Eric Clapton
Hard Times,James Taylor
Since I Don't Have You,Don McLean
She Did It,Michael Damian
I Can Take Care Of Myself,Billy
Morning Train (Nine To Five),Sheena Easton
Yearning For Your Love,The Gap Band
Arc Of A Diver,Steve Winwood
I Missed Again,Phil Collins
Give A Little Bit More,Cliff Richard
Brooklyn Girls,Robbie Dupree
Lovin' The Night Away,The Dillman Band
Almost Saturday Night,Dave Edmunds
Ai No Corrida (I-No-Ko-ree-da),Quincy Jones
Say You'll Be Mine,Christopher Cross
Paradise,Change
Kiss On My List,Daryl Hall John Oates
Find Your Way Back,Jefferson Starship
You Better You Bet,The Who
Ain't Even Done With The Night,John Cougar
I Can't Stand It,Eric Clapton And His Band
Love You Like I Never Loved Before,John O'Banion
Hold On Loosely,38 Special
Blessed Are The Believers,Anne Murray
Just So Lonely,Get Wet
You're So Easy To Love,Tommy James
"Mercy, Mercy, Mercy",Phoebe Snow
Rain In May,Max Werner
Somebody's Knockin',Terri Gibbs
You Like Me Don't You,Jermaine Jackson
I Loved 'em Every One,T.G. Sheppard
Come To Me,Aretha Franklin
Super Trouper,ABBA
Make That Move,Shalamar
Her Town Too,James Taylor
I've Been Waiting For You All Of My Life,Paul Anka
Wasn't That A Party,The Rovers
Rapture,Blondie
Next Time You'll Know,Sister Sledge
I Can't Say Goodbye To You,Helen Reddy
While You See A Chance,Steve Winwood
Keep On Loving You,REO Speedwagon
Don't Stand So Close To Me,The Police
But You Know I Love You,Dolly Parton
Woman,John Lennon
One Day In Your Life,Michael Jackson
Hurry Up And Wait,The Isley Brothers
Can You Feel It,The Jacksons
The Best Of Times,Styx
Crying,Don McLean
Just Between You And Me,April Wine
Lately,Stevie Wonder
Time Out Of Mind,Steely Dan
Don't Stop The Music,Yarbrough
It's A Love Thing,The Whispers
Turn Me Loose,Loverboy
Mister Sandman,Emmylou Harris
The Party's Over (Hopelessly In Love),Journey
9 To 5,Dolly Parton
Celebration,Kool
What Kind Of Fool,Barbra Streisand
Hello Again,Neil Diamond
I Love A Rainy Night,Eddie Rabbitt
Treat Me Right,Pat Benatar
Lonely Together,Barry Manilow
I Don't Need You,Rupert Holmes
The Winner Takes It All,ABBA
Seduced,Leon Redbone
Somebody Send My Baby Home,Lenny LeBlanc
A Little In Love,Cliff Richard
Precious To Me,Phil Seymour
Heaven In Your Arms,Dan Hartman
Games People Play,The Alan Parsons Project
One More Chance,Diana Ross
Limelight,Rush
Walking On Thin Ice,Yoko Ono
The Tide Is High,Blondie
Me (Without You),Andy Gibb
Hearts On Fire,Randy Meisner
That Didn't Hurt Too Bad,Dr. Hook
Playing With Lightning,Shot In The Dark
Memories,Tierra
Who Do You Think You're Foolin',Donna Summer
Lover,Michael Stanley Band
Shotgun Rider,Delbert McClinton
Lovers After All,Melissa Manchester
Right Away,Hawks
Fade Away,Bruce Springsteen
Games,Phoebe Snow
Guitar Man,Elvis Presley
96 Tears,Garland Jeffreys
I Ain't Gonna Stand For It,Stevie Wonder
I Have The Skill,Sherbs
Don't Know Much,Bill Medley
Burn Rubber (Why You Wanna Hurt Me),The Gap Band
Running Scared,The Fools
Somebody Special,Rod Stewart
Smoky Mountain Rain,Ronnie Milsap
Hold On,Badfinger
All American Girls,Sister Sledge
Giving It Up For Your Love,Delbert McClinton
It's My Job,Jimmy Buffett
Bon Bon Vie (Gimme The Good Life),T.S. Monk
Unchained Melody,Heart
Ah! Leah!,Donnie Iris
Same Old Lang Syne,Dan Fogelberg
Living In A Fantasy,Leo Sayer
Proud,The Joe Chemay Band
8th Wonder,Sugarhill Gang
Let Me Go,The Rings
Where's Your Angel?,Lani Hall
Ch Ch Cherie,The Johnny Average Band
Passion,Rod Stewart
Yesterday Once More/Nothing Remains The Same,The Spinners
(Ghost) Riders In The Sky,Outlaws
Hey Nineteen,Steely Dan
Together,Tierra
(Just Like) Starting Over,John Lennon
Too Tight,ConFunkShun
Back In Black,AC/DC
Guilty,Barbra Streisand
Staying With It,Firefall
Every Woman In The World,Air Supply
The Rambler,Molly Hatchet
Heartbreak Hotel,The Jacksons
Miss Sun,Boz Scaggs
And Love Goes On,Earth
Lipstick,Suzi Quatro
Seven Bridges Road,Eagles
Lady,Kenny Rogers
Killin' Time,Fred Knoblock
Flash's Theme Aka Flash,Queen
Fantastic Voyage,Lakeside
It's My Turn,Diana Ross
Keep This Train A-Rollin',The Doobie Brothers
Love On The Rocks,Neil Diamond
"De Do Do Do, De Da Da Da",The Police
Hit Me With Your Best Shot,Pat Benatar
Another One Bites The Dust,Queen
Fireflies,Fleetwood Mac
Time Is Time,Andy Gibb
Don't You Know What Love Is,Touch
I Made It Through The Rain,Barry Manilow
Hungry Heart,Bruce Springsteen
Theme From Raging Bull (Cavalleria Rusticana),Joel Diamond
Full Of Fire,Shalamar
Tell It Like It Is,Heart
He Can't Love You,Michael Stanley Band
Cafe Amore,Spyro Gyra
Love On The Airwaves,Night
Fly Away,Peter Allen
More Than I Can Say,Leo Sayer
Shine On,L.T.D.
Dreamer,The Association
Who's Making Love,Blues Brothers
Suddenly,Olivia Newton-John
Fool That I Am,Rita Coolidge
Long Time Lovin' You,McGuffey Lane
Love T.K.O.,Teddy Pendergrass
I Don't Want To Know Your Name,Glen Campbell
I Need Your Lovin',Teena Marie
Master Blaster (Jammin'),Stevie Wonder
Watching You,Slave
One Step Closer,The Doobie Brothers
Skateaway,Dire Straits
Cold Love,Donna Summer
My Mother's Eyes,Bette Midler
United Together,Aretha Franklin
Woman In Love,Barbra Streisand
Whip It,Devo
"Wynken, Blynken And Nod",The Doobie Brothers
Seasons,Charles Fox
Everybody's Got To Learn Sometime,The Korgis
Never Be The Same,Christopher Cross
Theme From The Dukes Of Hazzard (Good Ol' Boys),Waylon
You've Lost That Lovin' Feeling,Daryl Hall John Oates
I Believe In You,Don Williams
Need Your Loving Tonight,Queen
I'm Coming Out,Diana Ross
Teacher Teacher,Rockpile
You,Earth
Dreaming,Cliff Richard
Remote Control,The Reddings
Girls Can Get It,Dr. Hook
Sequel,Harry Chapin
Turn And Walk Away,The Babys
The Wanderer,Donna Summer
Gotta Have More Love,Climax Blues Band
Breakfast In America,Supertramp
Don't Want No-Body,J.D. Drews
Deep Inside My Heart,Randy Meisner
Fashion,David Bowie
Got To Rock On,Kansas
Never Knew Love Like This Before,Stephanie Mills
The Horizontal Bop,Bob Seger
Easy Love,Dionne Warwick
Lovely One,The Jacksons
Upside Down,Diana Ross
Switchin' To Glide/This Beat Goes On,The Kings
Stop This Game,Cheap Trick
This Time,John Cougar
He's So Shy,The Pointer Sisters
Set The Night On Fire,Oak
Turning Japanese,The Vapors
Toccata,Sky
Could I Be Dreaming,The Pointer Sisters
What Can You Get A Wookiee For Christmas (When He Already Owns A Comb?),The Star Wars Intergalactic Droid Choir
Without Your Love,Roger Daltrey
Let Me Be Your Angel,Stacy Lattisaw
On The Road Again,Willie Nelson
Trickle Trickle,The Manhattan Transfer
I'm Happy That Love Has Found You,Jimmy Hall
Out Here On My Own,Irene Cara
Merry Christmas In The NFL,Willis The Guard
Gypsy Spirit,Pendulum
Spend The Night In Love,The 4 Seasons
Once A Night,Jackie English
I Can't Stop The Feelin',Pure Prairie League
Help Me!,Marcy Levy
One-Trick Pony,Paul Simon
Jesse,Carly Simon
She's So Cold,The Rolling Stones
You Shook Me All Night Long,AC/DC
Morning Man,Rupert Holmes
Dreamer,Supertramp
Real Love,The Doobie Brothers
If You Should Sail,Nielsen/Pearson
Look What You've Done To Me,Boz Scaggs
All Out Of Love,Air Supply
That Girl Could Sing,Jackson Browne
Brite Eyes,Robbin Thompson Band
Texas In My Rear View Mirror,Mac Davis
Rough Boys,Pete Townshend
Sometimes A Fantasy,Billy Joel
I'm Alright,Kenny Loggins
Could I Have This Dance,Anne Murray
Drivin' My Life Away,Eddie Rabbitt
Give Me The Night,George Benson
Blues Power,Eric Clapton And His Band
Fame,Irene Cara
I Could Be Good For You,707
Real People/Chip Off The Old Block,Chic
Don't Say No,Billy Burnette
Hold On,Kansas
Xanadu,Olivia Newton-John And The Electric Light Orchestra
Lookin' For Love,Johnny Lee
Late In The Evening,Paul Simon
Love X Love,George Benson
Sherry,Robert John
Who Were You Thinkin' Of,The Doolittle Band
Cry Like A Baby,Kim Carnes
Midnight Rocks,Al Stewart
Live Every Minute,Ali Thomson
Let's Be Lovers Again,Eddie Money
Walk Away,Donna Summer
How Do I Survive,Amy Holland
Hot Rod Hearts,Robbie Dupree
Touch And Go,The Cars
When We Get Married,Larry Graham
Private Idaho,The B-52s
Let Me Talk,Earth
The Legend Of Wooley Swamp,The Charlie Daniels Band
I'm Almost Ready,Pure Prairie League
Who'll Be The Fool Tonight,Larsen-Feiten Band
Heroes,Commodores
Let's Do Something Cheap And Superficial,Burt Reynolds
More Bounce To The Ounce Part I,Zapp
Can't We Try,Teddy Pendergrass
All Over The World,Electric Light Orchestra
No Night So Long,Dionne Warwick
You'll Accomp'ny Me,Bob Seger
Don't Ask Me Why,Billy Joel
One In A Million You,Larry Graham
Emotional Rescue,The Rolling Stones
Someone That I Used To Love,Natalie Cole
You're The Only Woman (You & I),Ambrosia
Case Of You,Frank Stallone
I Love Women,Jim Hurt
Love Theme From Shogun (Mariko's Theme),Meco
A Little Is Enough,Pete Townshend
Midnight Rain,Poco
Angeline,The Allman Brothers Band
"Girl, Don't Let It Get You Down",The O'Jays
I Got You,Split Enz
Sailing,Christopher Cross
My Prayer,Ray
Turn It On Again,Genesis
(Sartorial Eloquence) Don't Ya Wanna Play This Game No More?,Elton John
Magic,Olivia Newton-John
Games Without Frontiers,Peter Gabriel
Take Your Time (Do It Right) Part 1,The S.O.S. Band
Boulevard,Jackson Browne
One Life To Live,Wayne Massey
Red Light,Linda Clifford
My Guy/My Girl,Amii Stewart
I've Just Begun To Love You,Dynasty
Let My Love Open The Door,Pete Townshend
Thunder And Lightning,Chicago
Good Morning Girl/stay Awhile,Journey
The Breaks (Part 1),Kurtis Blow
Hey There Lonely Girl,Robert John
Shining Star,The Manhattans
It's Still Rock And Roll To Me,Billy Joel
How Does It Feel To Be Back,Daryl Hall John Oates
The Part Of Me That Needs You Most,Jay Black
You're Supposed To Keep Your Love For Me,Jermaine Jackson
More Love,Kim Carnes
Old-Fashion Love,Commodores
Lola,The Kinks
Running Back,Eddie Money
Rebels Are We,Chic
You Better Run,Pat Benatar
JoJo,Boz Scaggs
Take A Little Rhythm,Ali Thomson
Make A Little Magic,The Dirt Band
Why Not Me,Fred Knoblock
First Time Love,Livingston Taylor
Leaving L.A.,Deliverance
True Love Ways,Mickey Gilley
Misunderstanding,Genesis
Tulsa Time/Cocaine,Eric Clapton And His Band
Don't Misunderstand Me,Rossington Collins Band
Cupid/I've Loved You For A Long Time,The Spinners
Under The Gun,Poco
I Hear You Now,Jon
Little Jeannie,Elton John
Late At Night,England Dan Seals
First...Be A Woman,Lenore O'malley
Stand By Me,Mickey Gilley
Empire Strikes Back (Medley),Meco
Coming Up (Live At Glasgow),Paul McCartney And Wings
I Can't Let Go,Linda Ronstadt
Rock It,Lipps
Tired Of Toein' The Line,Rocky Burnette
Steal Away,Robbie Dupree
You Can Call Me Blue,Michael Johnson
Treasure,The Brothers Johnson
In America,The Charlie Daniels Band
One Fine Day,Carole King
Love The World Away,Kenny Rogers
The Rose,Bette Midler
Free Me,Roger Daltrey
The Royal Mile (Sweet Darlin'),Gerry Rafferty
"Honey, Honey",David Hudson
Gimme Some Lovin',Blues Brothers
All Night Long,Joe Walsh
Years From Now,Dr. Hook
Over You,Roxy Music
Let Me Love You Tonight,Pure Prairie League
I'm Alive,Electric Light Orchestra
Let's Get Serious,Jermaine Jackson
Funkytown,Lipps
Darlin',Yipes!!
Shiver And Shake,The Silencers
Half Moon Silver,Hotel
Play The Game,Queen
Love That Got Away,Firefall
Against The Wind,Bob Seger
Shandi,KISS
(Call Me) When The Spirit Moves You,Touch
Whatever You Decide,Randy VanWarmer
Walks Like A Lady,Journey
That Lovin' You Feelin' Again,Roy Orbison
Wango Tango,Ted Nugent
My Mistake,The Kingbees
Beyond,Herb Alpert
One More Time For Love,Billy Preston
Everything Is Alright,Spider
Stranger In My Home Town,Foghat
A Lover's Holiday,Change
Where Did We Go Wrong,Frankie Valli
Biggest Part Of Me,Ambrosia
Landlord,Gladys Knight And The Pips
King Of The Hill,Rick Pinette
You And Me,Rockie Robbins
Just Can't Wait,The J. Geils Band
Cry Just A Little,Paul Davis
Let's Go 'round Again,Average White Band
Mirage,Eric Troyer
Don't Fall In Love With A Dreamer,Kenny Rogers
On The Rebound,Russ Ballard
She's Out Of My Life,Michael Jackson
Cars,Gary Numan
Call Me,Blondie
Should've Never Let You Go,Neil Sedaka
Dancin' In The Streets,Teri DeSario
If I Were You,Toby Beau
Save Me,Dave Mason
It's For You,Player
Alabama Getaway,Grateful Dead
Who Shot J.R.?,Gary Burbank
When Things Go Wrong,Robin Lane
Everything Works If You Let It,Cheap Trick
I Get Off On It,Tony Joe White
The Blue Side,Crystal Gayle
It Hurts Too Much,Eric Carmen
Cheap Sunglasses,ZZ Top
All Night Thing,The Invisible Man's Band
Ashes By Now,Rodney Crowell
Sweet Sensation,Stephanie Mills
"Theme From New York, New York",Frank Sinatra
Stomp!,The Brothers Johnson
Two Places At The Same Time,Ray Parker Jr.
Stop Your Sobbing,Pretenders
I'm Happy Just To Dance With You,Anne Murray
Somethin' 'Bout You Baby I Like,Glen Campbell
Atomic,Blondie
Clones (We're All),Alice Cooper
Brass In Pocket (I'm Special),Pretenders
Lost In Love,Air Supply
Wondering Where The Lions Are,Bruce Cockburn
Answering Machine,Rupert Holmes
Hurt So Bad,Linda Ronstadt
Angel Say No,Tommy Tutone
Time For Me To Fly,REO Speedwagon
We Live For Love,Pat Benatar
And The Cradle Will Rock...,Van Halen
Twilight Zone/Twilight Tone,The Manhattan Transfer
Another Brick In The Wall (Part II),Pink Floyd
Back Together Again,Roberta Flack
Ride Like The Wind,Christopher Cross
Dancing With The Mountains,John Denver
Sexy Eyes,Dr. Hook
Shotgun Rider,Joe Sun
Power,The Temptations
We Were Meant To Be Lovers,Photoglo
Breakdown Dead Ahead,Boz Scaggs
New Romance (It's A Mystery),Spider
Is This Love,Pat Travers Band
Lady,The Whispers
Love Stinks,The J. Geils Band
Take You Tonight,Ozark Mountain Daredevils
Coming Down From Love,Bobby Caldwell
The Very Last Time,Utopia
Only The Lonely (Have A Reason To Be Sad),La Flavour
Sisters Of The Moon,Fleetwood Mac
I Can't Help It,Andy Gibb
Train In Vain (Stand By Me),The Clash
Gee Whiz,Bernadette Peters
With You I'm Born Again,Billy Preston
I Don't Want To Walk Without You,Barry Manilow
You May Be Right,Billy Joel
The Seduction (Love Theme),James Last Band
Slipstream,Allan Clarke
Happy Together (A Fantasy),Captain
Back Of My Hand (I've Got Your Number),The Jags
I Can Survive,Triumph
Don't Say Goodnight (It's Time For Love) (Parts 1 & 2),The Isley Brothers
Don't Push It Don't Force It,Leon Haywood
Pilot Of The Airwaves,Charlie Dore
Heart Hotels,Dan Fogelberg
Love And Loneliness,The Motors
Run Like Hell,Pink Floyd
Let Me Be The Clock,Smokey Robinson
Real Love,The Cretones
It's Not A Wonder,Little River Band
Fool For A Pretty Face (Hurt By Love),Humble Pie
Headed For A Fall,Firefall
Dancin' Like Lovers,Mary Macgregor
I Only Want To Be With You,The Tourists
Do Right,Paul Davis
It's Hard To Be Humble,Mac Davis
Fire Lake,Bob Seger
I Can't Tell You Why,Eagles
Here Comes My Girl,Tom Petty And The Heartbreakers
Rock Lobster,The B-52s
Any Way You Want It,Journey
Off The Wall,Michael Jackson
What's Your Hurry Darlin',Ironhorse
Starting Over Again,Dolly Parton
Hold On To My Love,Jimmy Ruffin
Inside Of You,Ray
Think About Me,Fleetwood Mac
"Working My Way Back To You/Forgive Me, Girl",The Spinners
Gone Too Far,Eddie Rabbitt
Special Lady,Ray
Lucky Me,Anne Murray
When The Feeling Comes Around,Jennifer Warnes
I Pledge My Love,Peaches
Midnight Rendezvous,The Babys
Too Hot,Kool
Just For The Moment,Ray Kennedy
And The Beat Goes On,The Whispers
Crazy Little Thing Called Love,Queen
Catching The Sun,Spyro Gyra
White Hot,Red Rider
Keep The Fire,Kenny Loggins
Fire In The Morning,Melissa Manchester
How Do I Make You,Linda Ronstadt
Solitaire,Peter McIan
Somewhere In America,Survivor
You're My Blessing,Lou Rawls
I Was Looking For Someone To Love,Leif Garrett
It Takes Time,The Marshall Tucker Band
Can't Put A Price On Love,The Knack
Him,Rupert Holmes
Only A Lonely Heart Sees,Felix Cavaliere
The Good Lord Loves You,Neil Diamond
It's A Night For Beautiful Girls,The Fools
Let Me Be,Korona
Set Me Free,Utopia
The Second Time Around,Shalamar
Three Times In Love,Tommy James
Longer,Dan Fogelberg
Stay In Time,Off Broadway USA
Carrie,Cliff Richard
You've Got What I Need,Shooting Star
After You,Dionne Warwick
On The Radio,Donna Summer
Give It All You Got,Chuck Mangione
Desire,Andy Gibb
Borrowed Time,Styx
